"CODE INTERVENTION","No DESIGNATION","No INTERVENTION","COMMENTAIRE DE SIG","CENTRE","ZONE","REFINT","ETATPIDICOMP","DTPASSPIDICOMP","HEUREPASSPIDICOMP","DTETATPIDICOMP","HEURETATPIDICOMP","DTPREMPLG","HRPREMPLG","FTTH_IMM_OP","FTTH_TYPE_RAC","FTTH_TYPE_SITE","FTTH_ADDUCTABILITE","LIBMATFTTH","REMMATFTTH","REFOCEANE","DISPOSITIF_SPX"
"IQPFTH","296467296","22842742","","PSG","21","47374396","","","","","","6/23/2023","8:00","","","","","","","",""
"IQPFTH","297784313","22836057","","HEN","14","47340250","TA","5/11/2023","17:46","5/11/2023","17:46","5/17/2023","8:00","FT","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Livraison en point relais","",""
"IQPFTH","299173327","22760166","","ROM","7","46964625","TA","4/13/2023","10:46","4/13/2023","10:46","5/9/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQPFTH","298097680","22822698","","RIE","3","47271958","TA","5/6/2023","8:08","5/6/2023","8:08","5/12/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","298272505","22820764","","KOF","2","47263422","TA","5/5/2023","10:46","5/5/2023","10:46","5/23/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","296612738","22783464","","PEC","13","47075610","TA\TC","29/04/2023\12/05/2023","10:46\16:12","29/04/2023\12/05/2023","10:46\16:12","5/15/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
"IQCFTH","223288420","22787965","","PAT","404","47099274","TA","5/3/2023","17:48","5/3/2023","17:48","5/23/2023","8:00","FT","mono-fibre","Immeuble","","LIVEBOX:Livebox 5\DECODEUR_1:Decodeur Livebox Play TV","Livraison en point relais\Livraison en point relais","",""
"IQPFTH","297787149","22836059","","PVR","0","47340261","","","","","","5/26/2023","13:00","","","","","","","",""
"IQPFTH","299771048","22831585","","LAI","0","47314650","TA","5/11/2023","8:07","5/11/2023","8:07","5/27/2023","8:30","SFR FTTH (SFMD)","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","299160675","22808731","","CHX","2","47203670","TA\TC\TR","29/04/2023\11/05/2023\12/05/2023","08:46\16:23\17:17","29/04/2023\11/05/2023\12/05/2023","08:46\16:23\17:17","5/12/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison a domicile","",""
"IQPFTH","298197108","22834838","","TGC","4","47331727","TA","5/12/2023","12:51","5/12/2023","12:51","6/2/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQCFTH","296506994","22823844","","AA1","7","47278556","TA","5/5/2023","10:46","5/5/2023","10:46","5/26/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Deja detenu","",""
"IQPFTH","299375388","22820768","","CGN","51","47263433","TA","5/4/2023","8:13","5/4/2023","8:13","5/19/2023","8:00","THDB","mono-fibre","Maison individuelle","1 - aise","DECODEUR_1:Decodeur TV UHD","Remis au client","",""
"IQPFTH","297481812","22842746","","ROT","5","47374414","","","","","","6/7/2023","8:00","","","","","","","",""
"IQPFTH","298196970","22831587","","TGC","4","47314656","TA","5/12/2023","8:12","5/12/2023","8:12","5/23/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","296337483","22631413","","LAN","8","46307290","TA\TC\TR\TR\TR\TR\TR\TR\TR","20/02/2023\23/03/2023\24/03/2023\24/03/2023\06/04/2023\13/04/2023\27/04/2023\03/05/2023\09/05/2023","17:46\16:20\11:21\12:28\17:52\15:35\13:00\09:49\14:35","20/02/2023\23/03/2023\24/03/2023\24/03/2023\06/04/2023\13/04/2023\27/04/2023\03/05/2023\09/05/2023","17:46\16:20\11:21\12:28\17:52\15:35\13:00\09:49\14:35","3/24/2023","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","","","",""
"IQPFTH","229635265","22311712","","FLA","15","44514521","TA","10/15/2022","13:51","10/15/2022","13:51","12/14/2022","13:00","THDB","mono-fibre","Maison individuelle","1 - aise","LIVEBOX:Livebox 5","Livraison en point relais","",""
